Akita City Public Health Center	Akita
Chiba Prefectural Institute of Public Health	Chiba
Department of Infectious Diseases, Kobe Institute of Health	Hyogo
Fukui Prefectural Institute of Public Health and Environmental Science	Fukui
Fukuoka Institute of Health and Environmental Sciences	Fukuoka
Gifu Prefectural Institute of Public Health and Environmental Sciences	Gifu
Gunma Prefectural Institute of Public Health and Environmental Sciences	Gunma
Himeji City Institute of Environment and Health	Hyogo
Hiroshima City Institute of Public Health	Hiroshima
Hokkaido Institute of Public Health	Hokkaido
Ibaraki Prefectural Institute of Public Health	Ibaraki
Ishikawa Prefectural Institute of Public Health and Environmental Science	Ishikawa
Kanagawa Prefectural Institute of Public Health	Kanagawa
Kitakyushu City Institute of Health and Environmental Sciences	Fukuoka
Kochi Prefectural Institute of Public Health	Kochi
Koshigaya City Public Health Center	Saitama
Kumamoto City Public Health Research Institute	Kumamoto
Kumamoto PrefecturalInstituteof Public-Health and Environmental Science	Kumamoto
Nagano Environmental Conservation Research Institute	Nagano
Nagasaki Prefectural Institute for Environmental Research and Public Health	Nagasaki
Nagoya City Public Health Research Institute	Nagoya
Niigata City Public Health Research Institute	Niigata
Niigata Prefectural Institute of Public Health and Environmental Sciences	Niigata
Oita Prefectural Institute of Public Health and Environmental Science	Oita
Osaka Institute of Public Health	Osaka
Osaka Institute of Public Health, Morinomiya Center	Osaka
Ota Health Center Welfare Section	Tokyo
Sagamihara City Public Health Research Institute	Kanagawa
Saitama Prefectural Institute of Public Health	Saitama
Sakai City Institute of Public Health	Osaka
Sapporo City Institute of Public Health	Hokkaido
Shizuoka City Institute of Environmental Sciences and Public Health	Shizuoka
Tochigi Prefectural Institute of Public Health and Environmental Science	Tochigi
Tokyo Metropolitan Institute of Public Health	Tokyo
Toyama Institute of Health	Toyama
Wakayama Prefectural Research Center of Environment and Public Health	Wakayama
Yamagata Prefectural Institute of Public Health	Yamagata
Takayuki Hishiki Kanagawa Prefectural Institute of Public Health	Kanagawa
Tokyo Metropolitan Institute of Public Health, Department of Microbiology	Tokyo
Department of Microbiology; Ryota Kumagai Tokyo Metropolitan Institute of Public Health	Tokyo
Department of Emerging Infectious Diseases, Institute of Tropical Medicine, Nagasaki University	Nagasaki
Department of Epidemiology, Infectious Disease Control and Prevention, Hiroshima University, Japan	Hiroshima
Department of Infectious Diseases and Immunology, National Hospital Organization Nagoya Medical Center 	Nagoya
Department of Infectious, Respiratory and Digestive Medicine, Graduate School of Medicine, University of the Ryukyus	Okinawa
Department of Intensive Care Medicine, and clinical lab., Osaka Women's and Children's Hospital	      Osaka
Department of Microbiology, Yokohama City University School of Medicine	Kanagawa
Department of Respiratory Medicine, Nagasaki University Hospital, Nagasaki, Japan	Nagasaki
Department of Virology Institute of Tropical Medicine Nagasaki University   Nagasaki
Departments of Intensive Care Medicine, and Clinical lab, Osaka Women's and Children's Hospital	Osaka
Dr. Yoshitaka Tamura, Department of Clinical Laboratory, Osaka Habikino Medical Center Osaka
Ehime Prefectural Central Hospital  Ehime
Fujita Health University Bantane Hospital	Aichi
Fujita Health University Hospital		Aichi
Genome Analysis Center, Kamma Memorial Hospital	Tochigi
Genome Analysis Center, Yamanashi Central Hospital	Yamanashi
Isehara Kyodo Hospital	Kanagawa
Japanese Red Cross Nagoya Daiichi Hospital	Aichi
Japanese Red Cross Narita Hospital		Chiba
Kawakita General Hospital Tokyo
Kei Haga Omura Satoshi Memorial Institute, Kitasato University, Infection Control and Immunology	Tokyo
Kitakyushu Municipal Medical Center	   Fukuoka
Komatsu Municipal Hospital   Ishikawa
Kumamoto Prefectural Institute of Public-Health and Environmental Science	Kumamoto
NTT East Sapporo Hospital      Hokkaido
Nara Medical University Hospital	Nara
National Hospital Organization Kanazawa Medical Center	Ishikawa
Sagamihara Kyodo Hospital      Kanagawa
Saiseikai Niigata Hospital     Niigata
Saitama Medical University     Saitama
Saitama Medical University Hospital	Saitama
Tokyo Medical and Dental University	Tokyo
Tosei General Hospital	 Aichi
University Hospital Kyoto Prefectural University of Medicine	Kyoto
Yokohama City University Hospital     Kanagawa
Kumamoto Prefectural Institute of Public-Health and Environmental Science	Kumamoto
